PT05D,Oushadhi Sanitizer,50ml,20
PT06,Burncure Ointment,25g,48
PT07,Murivenna Ointment,10g,29
PT08,Pramehoushadhi,100g,102
PT08C,Pramehoushadhi,200g,190
PT09,Oushadhi Dahasamani,50g,29
PT10,Oushadhi Bliss Balm,10g,32
PT11,Oushadhi Tooth Powder,25g,29
PT12,Oushadhi Cough Syrup,100ml,46
PT13,Sudarsanam Tablet,100nos,132
PT14,Shaddharanam Tablet,100nos,233
PT15,Psorset Oil,100ml,112
PT16,Psorset Ointment,50g,63
PT17D,Ayush Kwath,50g,39
PT17E,Ayush Kwath,100g,76
PT18,Vigor Plus Capsule,60nos,289
PT19,Ashtachoornam Syrup,100ml,49
PT20,Lipocare Tablet,100no,263
PT21,Oushadhi Baby Oil,100ml,98
PT22,Cardocare Tablet,100no,167
PT23,Oushadhi Arimedadi Drops,10ml,36
PT24,Pramehoushadhi Tablet,100nos,210
PT25,K K Lepam,25g,53
PT27,Indukantham Syrup,100ml,29
PT28,Rajanyadi Choornam Syrup,100ml,29
PT29,Ayush Gutti,60 nos,72
PT30,Dasamoolajeeerakarishtam,450ml,89
T1,Anu Thailam,10ml,60
T10,Kanjunnyadi Thylam,450ml,228
T100,Laghuvishagarbha Thailam,450ml,203
T100E,Laghuvishagarbha Thailam,100ml,46
T102,Kaseesadi Thylam,450ml,210
T102E,Kaseesadi Thylam,100ml,49
T10A,Kanjunnyadi Thylam,200ml,102
T10E,Kanjunnyadi Thylam,100ml,53
T11,Karnapoorana Thylam,450ml,312
T11D,Karnapoorana Thylam,50ml,35
T12,Kurunthotti Enna,450ml,256
T12A,Kurunthotti Enna,200ml,116
T12E,Kurunthotti Enna,100ml,60
T13,Karppasasthyadi Thylam,450ml,228
T13A,Karppasasthyadi Thylam,200ml,102
T13E,Karppasasthyadi Thylam,100ml,53
T14,Kottamchukkadi Thylam,450ml,214
T14A,Kottamchukkadi Thylam,200ml,98
T14E,Kottamchukkadi Thylam,100ml,49
T15,Gandha Tailam,10ml,67
T16,Gandharvahasthadi Thailam,450ml,270
T16D,Ghandarvahasthadi Thailam,50ml,32
T17,Gopadmajadi Co-oil,450ml,361
T17A,Gopadmajadi Co-oil,200ml,163
T17E,Gopadmajadi Co-oil,100ml,82
T18,Chinjadi Thylam,450ml,221
T18A,Chinjadi Thylam,200ml,105
T18E,Chinjadi Thylam,100ml,53
T19,Chemparathyadi Co-oil,450ml,277
